	TCGA-H6-A45N-11A-12R-A26U-07	TCGA-H6-8124-11A-01R-2404-07	TCGA-YB-A89D-11A-11R-A36G-07	TCGA-HV-A5A3-11A-11R-A26U-07
MED20	16.1416	21.3611	12.5957	18.5351
SLA	105.3931	46.8067	50.1851	19.5882
QPRT	16.8548	19.7184	14.2227	27.0951
BIRC6	35.4772	22.2645	11.8336	13.5486
ZNF579	7.1985	9.1359	20.2371	16.2199
SNX18	26.1758	24.8582	17.4333	20.5637
SETD1B	36.123	17.7163	13.5088	18.7334
SNRK	27.5205	20.7641	16.0923	17.5617
SLC4A1AP	18.6269	19.8829	15.1297	18.382
ESCO1	18.6863	19.4693	11.0708	15.7484
NUDT19	15.671	10.9433	15.9496	16.8593
DALRD3	17.6599	19.749	15.3216	23.8672
P2RX4	11.6653	27.1547	20.0358	34.7006
RBBP6	39.8422	20.5614	13.5401	16.8924
GPD1	1.6788	4.1418	78.3165	1.5244
GCC2	18.3676	15.2654	12.566	11.4399
CCDC51	17.4794	15.5102	10.9714	16.2662
VIRMA	20.9544	18.1123	11.697	13.4945
IGSF3	0.6158	33.6024	8.4655	25.1603
LPIN3	4.9415	9.9653	13.975	16.8708
SLC30A7	15.2139	18.4473	15.6013	17.4784
MED11	23.7681	17.7434	17.9261	20.3138
HDAC2	11.7293	23.0032	15.2945	25.4256
AKAP10	32.3617	22.4337	15.832	17.8019
CARMIL1	3.9623	12.3084	8.1519	9.546
LRCH1	24.2686	18.6808	19.4967	14.1617
TEX2	11.6278	25.6098	15.9739	14.5536
HERC6	20.3394	17.1452	6.8982	12.9764
PRSS21	1.371	2.8784	3.7914	1.0578
ZNF212	26.4437	17.8283	13.2225	22.4112
DOCK9	12.3081	15.1063	15.3157	9.7353
ACAP3	28.3023	15.6195	18.1037	21.8806
TENT4A	34.0306	16.6613	16.6934	17.128
GRTP1	3.7936	7.5262	11.3654	9.6156
MRPS23	14.3008	16.1937	13.0621	16.7009
PNMA2	0.9861	8.5352	12.185	3.8593
COMMD9	15.334	29.9473	19.5617	28.7114
BNIP3	8.6792	16.7842	15.7621	26.0554
BRAP	17.6157	18.5754	12.8867	17.2503
NHLRC3	29.8171	23.4106	18.6393	15.9344
R3HCC1L	25.0773	23.5884	11.6002	20.4405
IFT20	13.0252	15.9876	14.5595	22.8
NTS	1.7343	0.5945	0.2616	0.1606
SLC24A3	5.5426	18.0708	24.0037	5.5543
CDC42EP3	15.3897	20.3229	15.6361	12.2624
TBC1D25	21.3839	16.5484	15.6929	20.0416
CPSF4	23.2479	13.2885	15.9448	16.8144
C19orf25	18.3295	13.9896	17.4251	20.9558
PPP1R12A	26.4067	23.5156	15.0921	13.4274
HIRIP3	21.9157	17.819	12.074	15.5472
DNAJC21	14.9569	15.8642	13.4375	17.0885
ZBTB45	14.818	15.4909	17.6372	19.3263
NUDT8	5.71	6.5882	9.4697	12.58
TM7SF2	10.2692	11.4975	18.4309	19.2555
PLEKHM1	16.2255	11.6386	15.1852	10.4748
EBF4	7.2219	18.5998	18.0933	26.0433
DENND4C	18.7366	22.5479	14.4976	12.9723
LRBA	18.0634	17.8731	7.7762	11.558
NRIP1	21.2315	28.6523	16.6761	14.8594
OGFOD1	16.5097	17.9949	15.6501	15.9144
TMC8	286.9985	16.6262	14.3941	19.6527
PFKFB2	14.8132	15.3745	5.6298	8.2772
MRPS30	15.5739	13.2562	11.87	13.8044
TTC13	50.1829	14.9509	10.1084	15.0178
SHLD2	19.3486	21.752	12.9229	17.9459
PLEKHG2	32.3574	15.5018	29.5256	19.1002
CDK2	17.2012	13.8526	14.4246	17.7509
ESM1	1.5545	9.0781	10.0235	17.4376
CLDN15	24.1078	9.0665	15.2796	13.1477
CCSER2	20.7863	24.8268	16.1445	17.1519
RNF130	12.6678	33.2209	27.7389	30.1959
ASAP2	1.3327	12.1486	9.8095	6.8355
HHLA2	0.6153	5.0016	17.6456	12.8276
DICER1	33.5078	25.9207	15.8212	17.7947
APOBR	46.6917	32.1726	58.1401	33.8356
FNIP2	11.6356	22.2972	19.2878	17.9861
MARVELD2	0.5372	14.8687	4.0557	16.9997
OLFML1	16.4819	31.6276	22.3755	21.4616
JDP2	30.3831	20.704	20.1475	15.9705
PER2	10.2978	14.208	17.0776	14.5944
HSCB	17.7158	17.801	10.7245	18.661
PPP2R1B	12.5454	16.2278	21.6493	22.5566
PHLDB1	8.1194	28.9095	25.2051	21.5291
ATG4A	16.457	18.1986	14.4999	15.611
SIRT1	25.3669	23.8867	13.9338	19.4581
MRPS33	14.5915	15.1677	12.1764	13.0915
ASAP3	5.3879	30.798	16.7319	41.0478
XRCC4	8.3053	10.3198	8.5633	10.2949
C20orf96	17.0933	25.6141	13.1284	26.8935
CA11	15.7694	17.8131	14.9112	19.2465
MAML2	19.8671	25.4808	14.9984	15.3983
ADCK5	24.3501	8.2383	15.3051	15.5412
NDOR1	43.4136	17.0306	15.7301	21.688
MIEF1	23.2141	19.0336	10.7507	15.302
DCBLD1	4.5412	21.1049	16.574	18.5648
C5orf22	18.4144	17.9062	10.7763	24.1701
SLC48A1	17.0573	14.6081	15.859	15.6057
CASP2	29.4165	15.4231	10.8205	19.7906
FKBP15	28.0993	26.0839	23.7971	20.6093
EIF2B3	13.6312	19.0716	19.0214	17.6172
NUDT22	23.6665	14.129	17.291	19.281
HIPK2	23.0247	18.713	13.0066	15.914
MED22	28.2253	20.3306	13.0441	22.4555
CDCA8	19.8661	4.2982	6.5938	5.3273
FANCL	24.019	16.9824	10.2314	16.2182
RGS4	0.7669	28.612	48.2567	7.0752
TMEM106B	10.6244	20.2195	10.6022	13.2983
GSE1	25.3683	17.7822	13.4013	17.3106
SPATA2	18.6157	11.6059	12.4661	15.9633
CAAP1	19.6577	20.6779	11.5427	21.6241
GALNT11	13.4753	24.3559	16.4831	18.2066
TNFRSF10D	7.8129	9.3811	20.6173	10.9718
CLP1	20.3684	19.5473	14.5721	19.3673
STK11IP	29.1691	18.0207	16.2442	19.752
TOPORS	18.7964	23.2857	12.7684	21.1753
C4orf19	0.2704	20.4211	6.6432	28.2462
TSR1	19.4427	19.0574	14.2598	14.9406
SLC49A3	12.9301	20.9938	25.5953	28.3602
FNDC10	6.0856	13.8994	22.5672	20.2198
ANKRD11	28.459	18.5212	14.5511	15.5617
SP3	22.8551	20.3246	12.4313	16.5658
VANGL2	15.4581	30.0738	13.3847	30.0027
TAZ	48.8063	12.3435	14.9388	18.4786
FAM110C	0.4777	19.2344	8.0601	18.4866
FJX1	7.3435	52.7071	22.4582	26.8786
SHFL	32.9466	15.3584	16.2426	17.5434
C3orf38	24.1967	21.2729	13.7717	18.0047
CCDC59	21.7545	16.603	14.8391	17.0104
RILP	20.4955	17.1306	20.7477	23.711
ABCB10	19.5875	16.7717	13.3276	15.1328
PNPT1	20.159	15.0795	12.6856	13.2923
BRIX1	15.4591	11.8859	10.3495	12.7054
TRPV4	3.8867	20.7932	13.486	24.6298
CARS1	13.6101	13.5901	15.7994	18.3095
NF2	19.4739	19.977	15.6837	27.203
SMARCD3	10.2841	33.7434	16.9528	34.9063
CCL13	0.226	1.6848	28.0086	3.6407
ORMDL2	8.0261	13.9061	12.3337	11.952
CAPN7	29.1139	20.3591	12.0911	14.0552
TGDS	17.6507	15.685	13.8179	15.1181
LRFN4	4.1269	7.9539	13.2432	16.4465
SLC25A17	14.5467	16.3516	15.0245	16.7337
METTL17	42.7946	18.3553	11.5763	22.3463
REC8	37.1338	7.2593	8.4129	13.4892
KATNA1	22.516	20.5987	17.6484	21.1121
GPR160	17.3418	13.8071	11.7148	18.2191
NKAPD1	18.6307	21.6639	12.1929	18.4394
DSN1	30.1145	12.4027	8.2179	13.0057
ZCCHC7	43.6406	19.1411	11.2225	15.8594
BRD3	19.5033	23.7137	13.2247	20.8046
FASTKD5	23.6897	16.1612	13.1682	17.0444
WNT7B	0.0366	3.0024	14.3736	7.1925
SIPA1L2	11.5913	23.1716	14.4125	13.3429
LEMD3	32.7088	19.7827	12.3367	16.6222
MGAT4A	15.3056	33.0838	14.3531	26.2664
NFIB	8.6763	30.9575	14.8129	29.2692
ANKRD50	2.9489	23.7648	14.8341	19.2798
CERS6	5.09	14.7829	8.3819	6.1958
SUOX	12.9423	20.6615	13.6867	19.8104
WDR81	45.2768	28.7154	19.8462	19.8966
ARMCX6	25.0319	25.1614	16.8608	23.3406
TRAPPC9	16.4602	14.5706	13.8684	15.9047
LGALS8	25.5526	21.8346	16.1074	20.7944
HDAC6	27.0064	20.1026	14.2987	21.047
DBR1	20.7139	21.7475	14.4789	19.7263
POLR3D	14.4576	16.0707	18.9682	16.011
ICE1	29.6832	22.5811	11.3946	14.5924
IL20RB	2.5503	1.5135	1.7206	1.0902
SMCHD1	59.9474	15.7906	10.6378	11.9961
ZNF281	23.3287	25.9893	20.8032	19.8086
MEGF8	17.4666	24.3806	18.6962	20.6319
TTC31	37.2006	18.3732	12.5013	18.8565
C6orf15	0.0804	0.1499	0.7624	0
CXCL3	0.6286	7.6025	19.829	16.3535
CHCHD5	11.3055	12.772	16.9358	14.0156
SGSH	34.7759	22.0392	18.7891	27.3894
ZBTB47	7.549	25.5534	24.2856	16.437
TYW1	16.8989	14.9156	8.3416	12.4685
AKNA	168.0799	19.881	13.9675	18.3089
MED1	25.9163	18.853	12.9404	12.4439
INIP	23.0764	21.825	13.4156	19.5983
NFRKB	24.2938	17.893	12.8317	16.1862
ACSF2	15.5601	18.5968	19.9872	16.827
PPIL3	30.1888	11.4794	12.7964	22.3642
TMCC1	12.8895	20.1832	12.5381	16.7115
ZBTB8OS	18.9091	15.4456	14.1893	15.2271
ADGRA3	2.4601	27.2867	10.7688	24.7867
EDC3	21.5622	18.607	13.8153	18.432
DNALI1	1.3356	20.4334	8.3986	23.6654
SEC22B	13.3845	18.4717	13.2085	15.3588
RRP12	12.7565	10.2894	19.3321	13.457
DSC2	2.4176	32.2952	14.0357	33.2295
TRIP11	15.5285	31.6107	11.0534	22.3001
ZNF205	4.0709	10.5381	18.5934	23.1473
JAG2	8.2582	13.1156	14.0662	22.0438
CDPF1	26.6421	19.3755	14.4955	19.2696
ABCD4	23.9202	14.9906	15.2282	20.4111
NACC2	16.9849	20.4642	15.3709	19.4696
SLMAP	9.6177	14.9156	11.174	12.4334
ZNF574	19.1401	13.1782	13.3736	17.5588
ZNF888	7.7005	12.6364	4.9429	18.3167
PGM2L1	2.4037	14.3941	15.7489	14.9458
LNPEP	43.8489	17.7035	13.1192	13.0301
PIGX	8.0735	18.2833	11.0251	14.8639
TMEM44	11.4787	11.9956	15.4294	15.292
CD109	2.5477	9.2254	16.0934	5.3859
ILDR1	4.3779	18.8464	8.6246	16.396
NKD2	12.9013	19.701	22.7466	20.4932
TAOK1	20.4363	21.7797	13.6698	14.0592
IFI44L	77.5809	9.0948	5.4423	7.3639
DAGLB	16.8248	17.9943	18.4827	18.8743
TWIST1	0.0466	13.0475	35.036	20.8805
SLC35D1	13.484	14.4038	13.3121	8.7625
ALPL	39.6619	6.6886	48.2545	8.9654
DDX28	31.3852	20.4465	15.1864	17.1705
DPH5	26.5199	20.6196	13.0801	18.6638
DMPK	23.2519	10.1737	15.3083	16.4743
FMR1	29.6398	19.7893	12.9823	17.6019
MTMR1	42.822	19.1544	12.3102	20.7813
KDM3A	19.271	17.0076	15.1001	15.9401
PROSER1	30.1725	16.6487	12.4698	18.0792
KIF13A	9.9688	18.2015	14.4993	12.7633
SOX18	13.0348	11.6664	25.4149	22.8414
ZNF532	22.1364	26.7782	20.1477	19.402
LUZP1	13.5954	22.4563	16.5106	11.7288
ZFC3H1	45.6578	15.1968	12.9672	13.8364
ARL5B	11.063	15.922	18.9398	16.4139
AP3M2	12.6538	17.2051	14.7996	14.0176
WNT10A	4.2037	2.7304	9.5195	3.6199
SLC5A6	22.9484	12.5721	18.381	16.9052
CDK1	15.0925	5.335	6.1399	7.0717
SUPV3L1	29.4767	15.1958	12.5111	15.6701
ELL	21.9149	13.5917	27.8468	13.9958
MAPK9	17.5703	18.2063	11.5153	17.5011
TTC27	21.8772	16.5116	13.1145	17.526
USP25	24.6536	22.0446	12.9996	16.8631
TRAF3IP1	11.367	15.5015	11.8139	14.485
SLC25A29	14.2373	16.1543	14.4135	25.4632
VPS26C	23.0855	19.2496	15.1835	17.4049
PRPSAP1	14.6786	22.0408	14.6407	21.4891
HSPA2	11.139	18.1312	13.5665	19.2768
NFATC4	5.555	12.675	23.6652	17.2439
IAH1	12.4966	20.0314	17.1418	18.1524
SLC25A44	15.9768	16.1367	13.3959	15.9887
DIRAS3	3.4038	15.959	10.3235	16.248
CDK5RAP1	26.1444	13.9279	13.4051	14.8346
ZBTB48	31.1759	13.0792	14.702	21.0567
MOB4	13.0795	15.6998	14.121	12.5631
KIAA1671	5.8887	25.2477	5.8646	17.6647
UPF3B	24.659	16.5202	11.5306	17.0999
GMEB2	24.5793	14.5798	15.5733	14.963
NCMAP	0.2467	70.0642	14.6355	69.8203
MOB1B	12.6687	17.6059	11.193	14.1003
TNNT1	0.4827	0.1636	11.2302	0.3142
TMEM171	25.7401	10.6766	4.556	4.3946
ABTB2	5.4008	14.455	24.2114	14.5017
HIVEP2	20.885	28.0112	19.8016	14.1386
TMEM62	14.3622	15.8007	9.3854	13.3982
SLC29A4	1.7603	13.8096	8.9603	12.1172
CRY1	10.5982	26.5551	16.1341	19.9112
USP40	17.2067	19.5152	11.523	20.4361
GOSR1	16.5979	16.0746	12.4932	13.7408
GMPR	14.5861	21.6814	10.2077	17.6186
CCDC90B	15.4632	19.1522	13.8984	18.2419
CRTC3	22.0529	21.8574	16.5168	16.4983
RASL12	16.3022	27.4538	19.927	28.2505
PBRM1	26.7782	24.62	14.1859	18.191
AIFM2	10.2137	15.5938	26.1419	16.484
ZHX1	16.104	19.358	12.3955	13.8202
VPS35L	16.3381	23.0397	19.2765	22.0539
TTC22	3.8804	7.3836	6.59	9.4385
RCN2	16.549	25.412	13.2363	21.9992
VTA1	16.656	20.4891	13.0775	17.4992
B3GNT6	0.0708	0.066	21.6611	0
MACIR	4.057	12.5036	13.9964	14.9041
IL20RA	0.059	15.8908	5.7334	12.0886
WDR45	23.7683	13.6583	16.635	19.1974
AOPEP	5.5208	16.6997	16.528	21.2477
TRIM32	18.7608	23.9844	14.2524	19.7443
NR4A2	2.4404	5.4231	35.8404	3.8853
RNF138	28.8136	21.0684	14.3639	20.6312
HENMT1	18.6673	14.0505	11.3741	9.6404
CCDC93	29.6444	23.0092	14.8625	20.1445
RNF24	8.9537	17.905	14.6699	25.6638
DEGS2	2.167	6.7022	10.8703	5.1439
MYO5B	5.3598	21.9919	8.8356	20.3231
TTF1	22.3296	17.413	13.5384	21.5389
ORC3	23.6702	19.8269	11.1372	17.0567
NPTXR	6.4281	47.0018	18.9437	44.3419
REXO1	37.7867	12.7477	18.4957	15.8285
GLCE	6.1153	21.9244	12.9562	13.9345
CRYBG1	39.2511	16.7939	13.4718	6.6927
MORC3	31.2294	21.2504	15.1084	17.2487
SYP	2.0609	6.2446	3.519	3.6405
DMTF1	49.0418	17.9568	12.8011	15.7417
RPRD1A	20.4445	19.2648	11.1389	16.4055
TMEM243	43.2824	14.2226	12.2118	15.0934
ANLN	3.551	3.3333	4.7595	3.7889
HSD17B2	0.0488	25.5674	11.6114	17.7309
CTDP1	25.9324	17.899	20.6079	20.9175
LLGL1	17.54	22.0399	18.5903	20.5108
CCR7	178.2342	9.7902	12.7323	9.3584
ACAP2	33.6986	19.2701	12.7823	11.8215
AP5B1	23.3145	16.9183	22.7384	21.2726
SPECC1L	18.8576	20.5278	16.3928	18.9307
LYSMD3	19.103	19.3572	13.3345	15.8845
LGALSL	8.37	12.6036	11.3082	12.4856
FEZ2	15.9079	22.2614	18.0075	17.0688
CENPV	11.7463	5.9395	9.8009	8.0018
POLR2D	20.1227	13.0992	11.8535	15.3965
RBM26	45.5955	21.3412	11.3799	15.0476
NOP16	15.5978	7.9249	14.7689	11.121
LDOC1	10.5253	21.8434	11.5785	23.3673
SHB	3.467	10.0422	15.6265	13.543
RGP1	13.3889	17.9418	9.476	12.696
IFT43	10.952	14.4815	16.8314	17.9677
TRUB1	19.8437	21.1093	9.8899	16.4657
ARAP3	12.0236	11.6853	18.0246	15.2891
SGSM2	39.7815	16.0236	15.6744	21.0227
HAT1	16.9175	17.8832	14.0704	15.301
CDK8	12.695	15.3007	14.487	18.3257
CDKN2C	11.8628	14.2424	12.625	17.4844
C19orf12	20.9569	16.2536	18.2793	20.0415
RAB27B	2.6907	7.0501	4.8427	7.7018
WDR61	16.5336	17.8112	14.1292	17.3223
RHOJ	11.2082	29.3964	30.3942	27.3221
MIS12	39.0288	17.6597	13.0784	17.1101
CCDC120	7.0994	11.2223	11.9582	15.6037
PABPC1L	33.1087	10.6395	8.9278	23.0738
KLHL36	44.8653	27.4582	15.3762	19.5499
NLRX1	14.1585	22.1864	16.1465	20.9484
PATJ	6.1714	15.5886	8.3958	20.0971
CCNB2	14.2882	5.0995	7.585	5.714
ZNF106	30.2189	24.8702	12.4216	13.2613
CLASP1	23.2968	26.9304	13.7379	23.3313
MRPL12	7.1887	7.3863	17.0669	11.7958
ELP2	26.1571	19.0507	15.1778	16.7514
VMO1	17.4866	8.2739	134.3284	7.8773
APOBEC2	1.6966	69.0173	10.6615	41.7959
CTPS2	10.4744	19.2405	11.9268	18.5241
MMP10	0.2643	82.9656	21.6613	123.0238
ADK	14.354	18.8899	11.0473	18.6902
CALCRL	7.6465	28.6458	26.1487	16.2156
PILRA	33.3649	43.7803	52.1597	20.9958
EEF2K	15.4484	15.296	12.9347	17.1125
KRT13	0.1596	0.0992	1.4197	0.0571
ZBED5	38.8796	20.0471	10.9779	20.879
DUS3L	28.6996	15.3947	16.16	13.0958
ASF1A	27.4414	25.3946	11.2603	22.5034
XPO5	13.3879	15.5521	12.9104	14.858
MKI67	19.1775	5.2039	5.4629	5.3003
DIP2C	9.6326	24.9028	15.5103	15.3281
SGF29	22.5912	18.7139	16.0237	22.2183
CCDC43	12.9309	15.4603	12.7283	16.6461
MMP3	0.1003	3.5524	1.2067	0.4938
PITPNC1	14.117	15.6497	18.7377	14.0722
RABIF	15.7123	14.2443	13.9551	15.7975
LYPD6B	1.8656	26.1851	7.5863	11.8531
PGP	15.3125	11.9601	16.2422	14.3891
RNF220	24.0375	15.8047	13.0178	17.2784
PITRM1	15.1098	15.4642	15.2551	15.1178
VAV1	86.6284	19.0435	17.488	16.5843
MYPOP	16.7738	10.665	13.6238	17.0763
RPS6KB2	23.3639	12.3297	14.224	17.0039
ATG12	25.1068	15.9697	13.0365	14.3614
MTURN	16.2838	12.78	22.6454	13.0031
DLG5	3.6754	13.4915	10.1761	9.2425
STX7	45.1708	23.5156	17.029	18.1576
TRMT6	20.5747	12.5841	12.4555	14.0147
CACNB3	3.2501	13.351	16.9185	20.7698
PLA1A	8.5746	27.0889	26.4438	23.5992
ARPIN	8.9203	25.7998	13.52	17.3631
PDE8A	18.0198	22.636	17.2882	18.4471
RWDD2B	14.0162	20.1532	12.106	22.0584
KDR	12.6707	20.8098	16.6259	15.9478
SDCCAG8	12.1111	20.2496	13.6971	15.548
YLPM1	25.8459	20.5564	11.4123	14.116
TECPR1	26.6733	12.4718	13.7438	14.9864
TBC1D5	33.2308	28.3921	12.5981	16.9356
ARID4B	30.6781	18.4544	12.1047	13.7928
TARBP1	44.6465	11.0612	8.931	13.8699
RABEP1	36.4247	21.926	14.5026	12.5217
EMG1	16.8467	14.529	13.4335	12.7185
FGD6	5.3236	16.3934	12.8993	14.1203
C1orf174	26.448	14.3908	14.0446	16.445
KIFC2	28.0627	6.4179	9.1169	12.5585
PCF11	45.4446	17.1272	11.2689	12.1278
NCOA2	29.4612	20.7337	9.2528	11.4588
ME3	13.1565	17.5669	18.8836	23.4858
EOGT	12.4105	18.9636	15.771	16.8788
PGS1	35.3361	15.283	19.0203	15.4185
TRUB2	13.9679	14.2552	11.6018	16.0124
TJAP1	28.6521	15.8811	13.9899	19.3476
SSPN	14.7305	26.3646	17.8993	14.0559
NSD1	28.7677	25.6698	10.3689	16.7469
VGLL1	0.1888	3.6353	4.1284	10.8121
SENP5	22.9208	11.6861	13.8679	12.8838
UBE2E1	22.3169	21.7558	15.5614	17.1635
PIGG	26.0571	13.9094	10.3447	14.7156
TASOR2	27.7109	18.049	11.1779	12.3099
FMNL1	72.3393	19.4279	26.7147	20.61
MRPL48	13.1111	15.0845	11.5415	16.3853
ZNF302	34.5762	20.5744	7.8953	19.6332
ID4	14.6943	21.048	23.0368	28.9469
KLF11	19.0275	30.7607	15.7171	16.5047
HLA-G	13.3448	9.4706	7.1143	21.8108
ZSWIM6	14.6953	23.2854	17.4101	20.1364
PARD6A	8.1462	9.5381	13.5229	16.0964
LEF1	29.6616	20.5188	22.89	22.1854
NEURL1	2.9242	16.8512	3.5122	9.7138
STRA6	1.4187	22.5701	16.2134	19.8932
KLHDC2	16.3791	18.3863	9.6562	15.9901
CSF2RB	84.0653	18.8951	20.1762	18.5809
QPCTL	14.3849	8.1803	11.5436	14.6132
SIAE	5.2947	14.9816	8.6352	13.7017
IL6R	29.3544	17.53	12.0193	8.0354
SYNDIG1	6.1558	6.3104	10.042	3.8223
TMED8	45.759	15.1115	9.8975	11.8609
SEC14L2	1.2321	11.1877	20.0386	14.0956
KIFC1	17.7697	4.7477	6.6007	5.8234
CARD16	42.4192	18.0714	20.3633	14.8907
TMEM184A	0.3176	8.235	10.02	9.6767
MRPS6	16.6484	9.8566	19.7379	9.8365
SAMD8	16.3003	14.6885	18.4522	10.3184
DST	9.3219	25.783	12.147	19.8311
AIG1	8.7135	13.1432	10.663	13.3765
SRPK1	10.5331	11.4132	8.419	9.4523
TMEM104	9.956	15.9839	16.9734	19.8601
KLHL20	18.6466	20.474	13.4189	13.8456
KIAA1143	18.7018	19.1619	11.9581	19.0683
LYRM4	25.9906	18.6339	18.6743	20.2071
TGS1	22.9931	15.9821	11.8445	13.592
ARFGEF3	0.6634	8.3478	2.838	6.1503
RPAP3	23.3262	17.6669	11.4178	15.4793
MRM1	26.6485	10.5243	10.2857	15.6142
RIPK3	22.3192	9.6975	12.8708	13.7901
MTFR1L	20.6613	18.0487	14.0928	17.832
BMF	57.2086	63.5118	17.0271	50.8825
RASA2	43.5198	16.8855	16.3097	12.5503
VEGFC	9.5659	10.5826	33.1857	12.0947
TMED1	7.2557	15.4554	16.6615	13.7834
DMWD	16.2136	14.522	17.434	14.0007
MTMR4	51.9385	19.3069	9.9043	16.5793
DLL4	4.362	10.7551	22.0762	20.5187
MTRES1	16.4175	18.6367	11.4079	19.3019
FBXO9	28.8333	20.363	9.9945	21.5782
TXNL1	13.5985	20.2875	15.8796	20.7763
RC3H2	27.9064	18.7166	13.6556	14.1081
SECISBP2	39.1001	16.2908	10.6391	18.1801
HADH	15.1972	19.3137	13.0714	15.0758
DOP1B	13.5626	18.7909	12.8537	16.176
BIRC5	11.2614	4.1797	6.3621	8.2467
SPAG4	4.1585	3.5924	7.9694	7.6566
TOP1MT	12.5629	8.9021	16.0814	10.8297
SMUG1	12.6056	15.021	12.3176	14.7486
DENND2B	12.8384	28.9719	11.851	26.2728
MGMT	14.119	12.8081	14.594	19.9692
CCDC61	19.6547	11.7646	14.5392	15.8549
SLC4A11	1.5718	1.1103	6.3104	1.7536
OSCAR	19.3658	30.6057	51.8891	26.3989
CNTN1	6.0944	29.7814	8.9679	6.2323
CDK5RAP2	28.4049	16.5698	11.9587	13.335
HOXB5	2.7793	9.1147	9.0352	8.7267
ANGEL1	28.3464	20.9225	12.6451	15.7277
FOXN3	31.2807	24.0853	16.2959	11.8868
CACUL1	13.7546	17.1654	14.083	21.2537
EXD2	8.1811	21.0967	11.5936	20.9039
USPL1	43.257	17.2138	13.414	15.4768
MTFR1	13.56	15.264	11.922	13.7548
AK4	1.7916	1.7916	11.0133	2.625
RACGAP1	13.8234	8.0603	7.6757	7.3826
SENP2	19.2871	11.6816	10.5486	11.4029
MAPK8IP1	1.9672	15.806	9.1482	21.5333
SNX10	37.661	51.6037	36.8795	60.7662
TSNAX	21.0194	17.2148	10.8104	16.0618
MCCC1	19.9746	24.9937	9.4202	21.353
FKBPL	10.2554	12.9582	11.3164	18.978
MOB3C	23.9837	14.4899	19.3215	17.1278
LAYN	8.3704	14.6272	25.9631	12.2039
NDUFB9	9.0184	12.0311	12.8354	12.6468
MRPS25	45.6735	13.1553	13.4938	14.365
EPB41L4B	0.1062	12.1575	7.5636	22.6694
AC093323.1	21.6783	13.0509	9.2682	13.1124
MAN2A2	36.8995	19.6524	13.3678	16.7091
KAT2B	48.5035	21.2646	11.5142	18.6074
SPOPL	20.819	17.0148	13.1234	12.6401
TSC2	23.0389	12.5134	13.4191	15.2685
VAMP4	27.062	16.674	11.5171	14.2223
MEGF9	19.0707	21.0186	11.7731	15.2193
TKFC	15.243	12.89	10.5042	17.8936
VWA2	2.4737	18.1879	4.8983	26.5687
TFIP11	23.2137	16.771	12.447	17.332
FLYWCH1	39.338	14.3937	15.6517	17.1499
ORAI2	51.4397	22.1014	16.7861	20.1725
UNK	39.1438	17.6658	13.3025	18.7944
JAZF1	31.2084	27.2044	13.327	19.3904
ARHGEF6	77.7339	27.8251	20.5653	19.5224
ITGB8	0.3252	13.3342	8.9824	13.3006
SERPINF2	12.2138	14.6097	11.2755	7.7374
LRRC20	7.3624	14.3916	11.1281	18.3451
MORC4	4.2332	14.9162	13.7532	9.085
EPHX2	30.3529	11.2372	7.209	9.745
PPP1R3C	4.3184	17.5754	3.1484	12.971
TMA16	19.2481	15.1983	12.3214	15.4927
CASD1	20.3132	21.0665	11.8581	19.067
BRI3BP	17.8547	11.6616	7.1206	10.2812
ITPKA	0.4887	1.601	12.1796	2.7041
PORCN	11.7359	11.2631	12.4066	11.0845
MCEE	13.6281	14.0877	8.8921	15.9388
ZNF691	27.724	20.0335	15.0846	22.1566
CYP2C18	0.0805	0.4752	8.7462	0.3963
OPLAH	6.2399	8.6771	10.9917	11.6946
SIKE1	21.4888	16.8008	12.2275	16.0417
FAM193A	26.3818	19.9561	12.9235	16.4042
FAM98C	14.8649	8.6447	10.4394	11.9469
PSMA1	16.769	13.6194	14.8265	11.3794
SFR1	14.6775	13.4231	10.6261	10.6105
L3MBTL2	24.2181	14.0945	13.1893	16.3614
INPP4B	6.3733	9.6256	11.08	6.363
NADSYN1	33.4903	10.5544	13.5987	15.9367
SAMD10	15.7517	7.8289	8.8828	15.5929
MALSU1	10.4966	15.0193	13.2234	19.1259
RNF39	0.8009	3.2737	6.915	4.4143
COPS5	18.6366	13.3535	12.62	12.9569
ABHD17B	17.8131	17.2371	12.3134	15.3747
NEURL3	0.8949	129.1453	14.9513	102.7864
DNAAF5	11.7624	12.3252	10.5509	14.2584
LZTS1	1.1734	29.9601	30.4768	29.7855
SEC22C	18.8514	20.5561	12.1153	18.9943
TMEM254	12.1361	20.0742	7.0377	16.5572
ACBD4	26.3017	10.496	11.114	19.3308
FOXK2	14.0894	13.2777	16.2195	14.8358
AGPAT5	19.3559	13.1279	11.4482	10.6641
CNST	39.2155	16.8365	10.193	13.3971
FAM160B1	22.8889	23.4961	14.3971	17.5807
SORBS2	7.6947	53.9291	9.7305	44.8622
MINDY3	19.9154	19.3381	13.9881	17.7637
RFWD3	21.9804	13.2711	9.6613	14.2714
GRAMD2B	7.1617	15.1326	9.6106	12.6551
EAF1	10.6271	15.3702	15.3715	11.8174
DECR2	5.6759	10.5357	8.1242	19.3665
RILPL2	34.9495	15.5042	23.7804	14.6781
ORC2	20.8119	12.2067	9.2551	13.4744
ACOX3	14.5556	28.977	15.2306	34.755
NGRN	6.8341	10.0863	13.5551	12.4472
TRMT2B	31.1425	17.2965	8.4768	12.8899
